file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/controllers/WelcomeScreenController.java,concordia.soen6611.igo_tvm.controllers.WelcomeScreenController,"WelcomeScreenController/2[concordia.soen6611.igo_tvm.Services.I18nService,concordia.soen6611.igo_tvm.controllers.ApplicationContext]",true,62,2,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,21,1,0,true
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/controllers/WelcomeScreenController.java,concordia.soen6611.igo_tvm.controllers.WelcomeScreenController,onLanguageChange/1[concordia.soen6611.igo_tvm.controllers.ActionEvent],false,94,4,2,0,2,3,4,12,0,1,1,4,1,1,0,2,0,0,2,0,1,0,1,0,0,0,29,1,0,true
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/controllers/WelcomeScreenController.java,concordia.soen6611.igo_tvm.controllers.WelcomeScreenController,initialize/0,false,75,3,3,0,3,1,8,12,0,3,0,8,1,1,0,0,0,0,6,0,0,4,1,0,0,1,32,1,0,true
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/controllers/WelcomeScreenController.java,concordia.soen6611.igo_tvm.controllers.WelcomeScreenController,onStartPurchase/1[concordia.soen6611.igo_tvm.controllers.ActionEvent],false,130,7,1,0,1,2,10,13,0,3,1,10,0,0,0,0,1,1,2,0,3,1,1,0,0,0,43,1,0,true
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/controllers/WelcomeScreenController.java,concordia.soen6611.igo_tvm.controllers.WelcomeScreenController,updateTexts/0,false,111,1,4,2,2,1,4,11,0,1,0,4,0,0,0,0,0,0,8,0,1,2,0,0,0,0,21,2,0,true
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/Services/ContrastManager.java,concordia.soen6611.igo_tvm.Services.ContrastManager,setLevel/1[double],false,120,1,5,3,2,1,3,5,0,0,1,3,2,1,0,0,0,0,1,0,1,0,0,0,0,0,21,1,0,true
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/Services/ContrastManager.java,concordia.soen6611.igo_tvm.Services.ContrastManager,"attach/2[concordia.soen6611.igo_tvm.Services.Scene,concordia.soen6611.igo_tvm.Services.Parent]",false,82,3,1,0,1,2,3,7,0,0,2,3,1,1,0,1,0,0,0,0,1,0,1,0,0,0,13,1,0,true
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/Services/ContrastManager.java,concordia.soen6611.igo_tvm.Services.ContrastManager,increase/0,false,102,1,2,1,1,1,1,3,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,17,1,0,true
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/Services/ContrastManager.java,concordia.soen6611.igo_tvm.Services.ContrastManager,apply/0,false,133,0,2,2,0,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,33,2,0,true
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/Services/ContrastManager.java,concordia.soen6611.igo_tvm.Services.ContrastManager,decrease/0,false,107,1,2,1,1,1,1,3,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,17,1,0,true
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/Services/ContrastManager.java,concordia.soen6611.igo_tvm.Services.ContrastManager,getLevel/0,false,97,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,true
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/Services/ContrastManager.java,concordia.soen6611.igo_tvm.Services.ContrastManager,getInstance/0,false,44,1,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,0,true
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/Services/ContrastManager.java,concordia.soen6611.igo_tvm.Services.ContrastManager,ContrastManager/0,true,71,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,true
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/Services/ContrastManager.java,concordia.soen6611.igo_tvm.Services.ContrastManager,reset/0,false,112,1,1,0,1,1,1,3,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,10,1,0,true
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/Services/ContrastManager.java,concordia.soen6611.igo_tvm.Services.ContrastManager,clamp/1[double],false,147,0,1,1,0,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,0,true
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/exceptions/AbstractCustomException.java,concordia.soen6611.igo_tvm.exceptions.AbstractCustomException,getRootCause/0,false,119,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,true
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/exceptions/AbstractCustomException.java,concordia.soen6611.igo_tvm.exceptions.AbstractCustomException,getUserMessage/0,false,129,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/exceptions/AbstractCustomException.java,concordia.soen6611.igo_tvm.exceptions.AbstractCustomException,getExceptionType/0,false,114,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,true
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/exceptions/AbstractCustomException.java,concordia.soen6611.igo_tvm.exceptions.AbstractCustomException,AbstractCustomException/1[java.lang.String],true,44,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,0,true
